Module,Frequency,N,M,Max Precision (bits),Min Precision (bits),Area (um^2),Leakage Power (nW),Dynamic Power (nW),Total Power (nW)
systolic_array,500000000,1,1,2,2,124.8912,2832.7,28742,31575
systolic_array,500000000,1,1,2,2,124.8912,2832.7,28742,31575
systolic_array,500000000,1,1,4,2,431.474398,13545,78470.1,92015
systolic_array,500000000,1,1,4,4,282.239998,7780.7,60101.7,67882
systolic_array,500000000,1,1,8,2,1733.129989,64314,279960,344300
systolic_array,500000000,1,1,8,8,687.6072,22952,148845,171800
systolic_array,500000000,1,1,16,2,7492.413585,274220,1166200,1440400
systolic_array,500000000,1,1,16,16,2203.236034,68980,473688,542700
systolic_array,500000000,2,1,2,2,179.2224,4147.6,42985.9,47134
systolic_array,500000000,2,1,2,2,179.2224,4147.6,42985.9,47134
systolic_array,500000000,2,1,4,2,720.946796,23800,128385,152200
systolic_array,500000000,2,1,4,4,424.065597,12339,92391.7,104700
systolic_array,500000000,2,1,8,2,3177.140376,117290,503845,621100
systolic_array,500000000,2,1,8,8,1089.975599,34794,241967,276700
systolic_array,500000000,2,1,16,2,13872.97793,527910,2135000,2662900
systolic_array,500000000,2,1,16,16,3425.511666,115090,761600,876600
systolic_array,500000000,4,1,2,2,309.405599,6908,77105,84013
systolic_array,500000000,4,1,2,2,309.405599,6908,77105,84013
systolic_array,500000000,4,1,4,2,1323.529191,44225,234420,278700
systolic_array,500000000,4,1,4,4,728.531993,21248,161600,182900
systolic_array,500000000,4,1,8,2,6181.408764,229810,969800,1199600
systolic_array,500000000,4,1,8,8,2007.961209,64760,436426,501200
systolic_array,500000000,4,1,16,2,26996.07944,1047700,4120100,5167800
systolic_array,500000000,4,1,16,16,5981.547694,221850,1372700,1594500
systolic_array,500000000,8,1,2,2,604.169996,14321,155239.7,169600
systolic_array,500000000,8,1,2,2,604.169996,14321,155239.7,169600
systolic_array,500000000,8,1,4,2,2558.681979,87404,458650,546100
systolic_array,500000000,8,1,4,4,1373.803183,41694,311492,353200
systolic_array,500000000,8,1,8,2,11970.6803,455320,1888400,2343700
systolic_array,500000000,8,1,8,8,3625.901993,125430,823779,949200
systolic_array,500000000,8,1,16,2,53160.25643,2086300,8232400,10318600
systolic_array,500000000,8,1,16,16,11376.03617,435300,2712700,3148000
systolic_array,500000000,16,1,2,2,1263.023987,31188,331489,362700
systolic_array,500000000,16,1,2,2,1263.023987,31188,331489,362700
systolic_array,500000000,16,1,4,2,5106.603554,176020,927786,1103800
systolic_array,500000000,16,1,4,4,2735.258362,84581,634997,719500
systolic_array,500000000,16,1,8,2,23785.423,909320,3758300,4667700
systolic_array,500000000,16,1,8,8,7095.33718,249580,1627200,1876700
systolic_array,500000000,16,1,16,2,105667.3036,4173900,16383000,20556500
systolic_array,500000000,16,1,16,16,21804.45147,885530,5266700,6152300
systolic_array,500000000,1,2,2,2,251.369999,5554.9,58957.9,64513
systolic_array,500000000,1,2,2,2,251.369999,5554.9,58957.9,64513
systolic_array,500000000,1,2,4,2,885.880795,25414,157938,183300
systolic_array,500000000,1,2,4,4,568.184395,14131,122507.7,136600
systolic_array,500000000,1,2,8,2,3607.203578,121820,542883,664700
systolic_array,500000000,1,2,8,8,1384.916396,40066,291312,331400
systolic_array,500000000,1,2,16,2,17259.50536,582090,2274600,2856600
systolic_array,500000000,1,2,16,16,4638.790884,132450,820600,953100
systolic_array,500000000,2,2,2,2,368.675999,7531,89770.6,97302
systolic_array,500000000,2,2,2,2,368.675999,7531,89770.6,97302
systolic_array,500000000,2,2,4,2,1513.335592,45933,260820,306700
systolic_array,500000000,2,2,4,4,872.474393,23167,188144,211300
systolic_array,500000000,2,2,8,2,6810.098376,232930,977400,1210300
systolic_array,500000000,2,2,8,8,2236.751997,69250,468882,538100
systolic_array,500000000,2,2,16,2,35427.99991,1257500,4539400,5796900
systolic_array,500000000,2,2,16,16,7238.39776,227100,1346500,1573500
systolic_array,500000000,4,2,2,2,647.917197,13958,160896.6,174900
systolic_array,500000000,4,2,2,2,647.917197,13958,160896.6,174900
systolic_array,500000000,4,2,4,2,2801.584784,87794,473619,561400
systolic_array,500000000,4,2,4,4,1524.977986,42580,329165,371700
systolic_array,500000000,4,2,8,2,13451.91117,470080,1869700,2339700
systolic_array,500000000,4,2,8,8,3999.693596,129300,832550,961800
systolic_array,500000000,4,2,16,2,70183.56292,2557900,9021300,11579200
systolic_array,500000000,4,2,16,16,12653.17221,437090,2522200,2959200
systolic_array,500000000,8,2,2,2,1281.016792,28867,323093,351900
systolic_array,500000000,8,2,2,2,1281.016792,28867,323093,351900
systolic_array,500000000,8,2,4,2,5459.050767,174040,925339,1099400
systolic_array,500000000,8,2,4,4,2913.42237,84043,635382,719500
systolic_array,500000000,8,2,8,2,26572.01394,947990,3711700,4659700
systolic_array,500000000,8,2,8,8,7686.277207,251000,1588700,1839700
systolic_array,500000000,8,2,16,2,135464.0878,4965900,17463900,22429500
systolic_array,500000000,8,2,16,16,24351.84397,905520,4896200,5801600
systolic_array,500000000,1,4,2,2,494.096397,9840.8,117802.7,127700
systolic_array,500000000,1,4,2,2,494.096397,9840.8,117802.7,127700
systolic_array,500000000,1,4,4,2,1771.761586,50585,315693,366200
systolic_array,500000000,1,4,4,4,1126.313987,28060,243755,271800
systolic_array,500000000,1,4,8,2,7277.029145,242470,1046700,1289300
systolic_array,500000000,1,4,8,8,2862.442802,79940,567794,647800
systolic_array,500000000,1,4,16,2,38602.67095,1281700,4591600,5873300
systolic_array,500000000,1,4,16,16,9629.499789,260670,1601400,1862000
systolic_array,500000000,2,4,2,2,730.295995,14903,181273.5,196200
systolic_array,500000000,2,4,2,2,730.295995,14903,181273.5,196200
systolic_array,500000000,2,4,4,2,3037.784377,90978,518541,609500
systolic_array,500000000,2,4,4,4,1741.42078,46107,375675,421800
systolic_array,500000000,2,4,8,2,14216.78159,469430,1888200,2357600
systolic_array,500000000,2,4,8,8,4491.496785,138190,911498,1049700
systolic_array,500000000,2,4,16,2,76454.75979,2648600,9145100,11793700
systolic_array,500000000,2,4,16,16,14954.66314,446220,2595900,3042100
systolic_array,500000000,4,4,2,2,1297.069191,27768,325616,353400
systolic_array,500000000,4,4,2,2,1297.069191,27768,325616,353400
systolic_array,500000000,4,4,4,2,5670.201557,175220,942252,1117400
systolic_array,500000000,4,4,4,4,3066.008364,84995,659402,744400
systolic_array,500000000,4,4,8,2,27752.83558,949240,3673500,4622800
systolic_array,500000000,4,4,8,8,8171.729995,257700,1627500,1885200
systolic_array,500000000,4,4,16,2,141302.2232,4726700,16907600,21634200
systolic_array,500000000,4,4,16,16,26870.48336,912260,4821500,5733700
systolic_array,500000000,1,8,2,2,979.901991,19605,236376.6,256000
systolic_array,500000000,1,8,2,2,979.901991,19605,236376.6,256000
systolic_array,500000000,1,8,4,2,3545.287167,100910,626130,727100
systolic_array,500000000,1,8,4,4,2243.631572,56023,486357,542400
systolic_array,500000000,1,8,8,2,15291.58677,493450,2057400,2550800
systolic_array,500000000,1,8,8,8,5627.159982,159820,1120489,1280300
systolic_array,500000000,1,8,16,2,78115.91886,2521000,8678500,11199500
systolic_array,500000000,1,8,16,16,19717.9924,520520,3160100,3680600
systolic_array,500000000,2,8,2,2,1454.594388,29748,364159,393900
systolic_array,500000000,2,8,2,2,1454.594388,29748,364159,393900
systolic_array,500000000,2,8,4,2,6107.849947,182040,1028652,1210700
systolic_array,500000000,2,8,4,4,3491.661556,92638,749205,841900
systolic_array,500000000,2,8,8,2,28575.91796,940420,3757400,4697800
systolic_array,500000000,2,8,8,8,9944.373691,286000,1835800,2121800
systolic_array,500000000,2,8,16,2,155376.2977,5248300,17178100,22426300
systolic_array,500000000,2,8,16,16,30134.7655,884180,4955200,5839300
systolic_array,500000000,1,16,2,2,1951.689581,39141,471606,510800
systolic_array,500000000,1,16,2,2,1951.689581,39141,471606,510800
systolic_array,500000000,1,16,4,2,7100.629129,202180,1256092,1458300
systolic_array,500000000,1,16,4,4,4496.435943,112860,972553,1085500
systolic_array,500000000,1,16,8,2,29352.60696,998330,4049800,5048000
systolic_array,500000000,1,16,8,8,12522.10693,337130,2222600,2559700
systolic_array,500000000,1,16,16,2,151716.88,4648100,15181300,19829400
systolic_array,500000000,1,16,16,16,39643.43121,1024700,5723300,6748000